expense_id,trip_id,trip,reason,expense_date,expense_type,product,currency,exchange_rate,amount_original,amount_lps,amount_usd,lender_traveler_id,debtor_traveler_id,is_shared_expense
E0031,T002,SPS Sep 2026,CityPark,2026-09-05,Restaurantes,BOTE CON AGUA 2,L,27.0,75.0,75.0,2.7777777777777777,P002,P002,False
E0032,T002,SPS Sep 2026,CityPark,2026-09-05,Restaurantes,MARGARITA LIMON,L,27.0,360.0,360.0,13.333333333333334,P002,P003,False
E0033,T002,SPS Sep 2026,CityPark,2026-09-05,Restaurantes,PIÑA COLADA,L,27.0,180.0,180.0,6.666666666666667,P002,P002,False
E0034,T002,SPS Sep 2026,CityPark,2026-09-05,Restaurantes,LONG ISLAND 1,L,27.0,180.0,180.0,6.666666666666667,P002,P004,False
E0035,T002,SPS Sep 2026,CityPark,2026-09-05,Restaurantes,LONG ISLAND 2,L,27.0,180.0,180.0,6.666666666666667,P002,P002,False
E0036,T002,SPS Sep 2026,CityPark,2026-09-05,Restaurantes,PROPINA,L,27.0,170.04,170.04,6.297777777777777,P002,,True
E0037,T002,SPS Sep 2026,Uber CityPark,2026-09-05,Transporte,Uber,L,27.0,135.98,135.98,5.036296296296296,P003,,True
E0038,T002,SPS Sep 2026,Uber CityPark,2026-09-05,Transporte,Uber,L,27.0,92.0,92.0,3.4074074074074074,P002,,True
E0039,T002,SPS Sep 2026,Uber CityPark,2026-09-05,Transporte,Uber,L,27.0,91.12,91.12,3.374814814814815,P003,,True
E0040,T002,SPS Sep 2026,iHop,2026-09-06,Restaurantes,Breakfast Sampler,L,27.0,275.0,275.0,10.185185185185183,P002,P002,False
E0041,T002,SPS Sep 2026,iHop,2026-09-06,Restaurantes,Strawberry Lemonade Splash,L,27.0,75.0,75.0,2.7777777777777777,P002,P003,False
E0042,T002,SPS Sep 2026,iHop,2026-09-06,Restaurantes,Te Helado,L,27.0,75.0,75.0,2.7777777777777777,P002,P002,False
E0043,T002,SPS Sep 2026,iHop,2026-09-06,Restaurantes,Burrito de 3 Carnes,L,27.0,285.0,285.0,10.555555555555555,P002,P003,False
E0044,T002,SPS Sep 2026,iHop,2026-09-06,Restaurantes,Burrito Con Chorizo,L,27.0,89.0,89.0,3.2962962962962963,P002,P001,False
E0045,T002,SPS Sep 2026,iHop,2026-09-06,Restaurantes,Horchata Mucho,L,27.0,89.0,89.0,3.2962962962962963,P002,P001,False
E0046,T002,SPS Sep 2026,iHop,2026-09-06,Restaurantes,New York Cheesecake Pancake,L,27.0,175.0,175.0,6.481481481481482,P002,P001,False
E0047,T002,SPS Sep 2026,iHop,2026-09-06,Restaurantes,Never Empty Coffee,L,27.0,45.0,45.0,1.6666666666666667,P002,P001,False
E0048,T002,SPS Sep 2026,iHop,2026-09-06,Restaurantes,Philly Cheese Steak Stacker,L,27.0,299.0,299.0,11.074074074074074,P002,P004,False
E0049,T002,SPS Sep 2026,iHop,2026-09-06,Restaurantes,Cafe Latte,L,27.0,45.0,45.0,1.6666666666666667,P002,P004,False
E0050,T002,SPS Sep 2026,iHop,2026-09-06,Restaurantes,Leche Deslactosada,L,27.0,5.0,5.0,0.1851851851851851,P002,P004,False
E0051,T002,SPS Sep 2026,Starbucks ,2026-09-06,Restaurantes,Iced Caramel Macchiato,L,27.0,116.0,116.0,4.296296296296297,P002,P001,False
E0052,T002,SPS Sep 2026,Starbucks ,2026-09-06,Restaurantes,Strawberry Cream Frappuccino,L,27.0,137.0,137.0,5.074074074074074,P002,P004,False
E0053,T002,SPS Sep 2026,Starbucks ,2026-09-06,Restaurantes,Mango Dragon Lemon,L,27.0,151.0,151.0,5.592592592592593,P002,P002,False
E0054,T002,SPS Sep 2026,Starbucks ,2026-09-06,Restaurantes,Iced Chai Latte XL,L,27.0,130.0,130.0,4.814814814814815,P002,P003,False
E0055,T002,SPS Sep 2026,KatraChamoy,2026-09-06,Restaurantes,Pollo Chuco,L,27.0,285.0,285.0,10.555555555555555,P002,,True
E0056,T002,SPS Sep 2026,Gasolina,2026-09-06,Restaurantes,Gasolina Ida,L,27.0,1800.0,1800.0,66.66666666666667,P002,,True
E0057,T002,SPS Sep 2026,Gasolina,2026-09-06,Restaurantes,Gasolina Vuelta,L,27.0,823.0,823.0,30.48148148148148,P002,,True
E0058,T001,ESV Shakira 2026,Combustible,2026-02-06,Combustible,Gasolina Ida,L,26.42,752.93,752.93,28.498485995457983,P002,,True
E0059,T001,ESV Shakira 2026,Pollo Campestre,2026-02-06,Restaurantes,Menu Campestre,$,26.42,6.65,175.693,6.65,P002,P001,False
E0060,T001,ESV Shakira 2026,Pollo Campestre,2026-02-06,Restaurantes,Vaso Campestre Frutas,$,26.42,2.65,70.013,2.65,P002,P005,False
E0061,T001,ESV Shakira 2026,Pollo Campestre,2026-02-06,Restaurantes,Menu Campestre,$,26.42,6.65,175.693,6.65,P002,P003,False
E0062,T001,ESV Shakira 2026,Pollo Campestre,2026-02-06,Restaurantes,Super Campestre,$,26.42,8.1,214.002,8.1,P002,P002,False
E0063,T001,ESV Shakira 2026,Pollo Campestre,2026-02-06,Restaurantes,Orden de Chili,$,26.42,0.99,26.155800000000003,0.99,P002,P002,False
E0064,T001,ESV Shakira 2026,Pollo Campestre,2026-02-06,Restaurantes,Aderezos,$,26.42,0.99,26.155800000000003,0.99,P002,P002,False
E0065,T001,ESV Shakira 2026,Pollo Campestre,2026-02-06,Restaurantes,Sandwich Ciabatta,$,26.42,6.99,184.6758,6.99,P002,P004,False
E0066,T001,ESV Shakira 2026,Pollo Campestre,2026-02-06,Restaurantes,Papas Ga,$,26.42,0.5,13.21,0.5,P002,P004,False
E0067,T001,ESV Shakira 2026,New Fashion,2026-02-06,Souvenires,Lapiz Italia Expresso,$,26.42,0.8,21.136000000000003,0.8,P002,P005,False
E0068,T001,ESV Shakira 2026,New Fashion,2026-02-06,Souvenires,Lapiz Italia Cabaret,$,26.42,0.8,21.136000000000003,0.8,P002,P005,False
E0069,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,McCormick Manzana,$,26.42,1.88,49.6696,1.88,P002,,True
E0070,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,2 Gaseosas UVA Lata 35,$,26.42,1.3,34.346000000000004,1.3,P002,,True
E0071,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Agua La Fuente 378g,$,26.42,1.0,26.42,1.0,P002,,True
E0072,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Aceite de Oliva Extra,$,26.42,2.5,66.05000000000001,2.5,P002,,True
E0073,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Jugo Sula Naranja,$,26.42,3.63,95.9046,3.63,P002,,True
E0074,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Mostaza Hellmann’s 20,$,26.42,1.73,45.7066,1.73,P002,,True
E0075,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Plato Terno FDM Bio,$,26.42,1.12,29.59040000000001,1.12,P002,,True
E0076,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,6 Pack Cerveza Pilsener,$,26.42,7.55,199.471,7.55,P002,P001,False
E0077,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Jabón Dove Original,$,26.42,1.99,52.5758,1.99,P002,P004,False
E0078,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,2 Pack Frijol Borr. C,$,26.42,1.25,33.025000000000006,1.25,P002,,True
E0079,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Vaso Biodegradable,$,26.42,0.99,26.155800000000003,0.99,P002,,True
E0080,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Huevo La Catalana Med,$,26.42,3.0,79.26,3.0,P002,,True
E0081,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Lechuga Repollada (lb),$,26.42,1.24,32.7608,1.24,P002,,True
E0082,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Banano (1.03 kg),$,26.42,0.79,20.871800000000004,0.79,P002,,True
E0083,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Tomate de Cocina (lb),$,26.42,0.82,21.6644,0.82,P002,,True
E0084,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Crema Dental Colgate,$,26.42,1.3,34.346000000000004,1.3,P002,P001,False
E0085,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Manzana Mixta #150,$,26.42,2.74,72.39080000000001,2.74,P002,,True
E0086,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Gaseosa Coca Cola 1L,$,26.42,1.3,34.346000000000004,1.3,P002,,True
E0087,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Yogurt Griego Yes Na,$,26.42,1.1,29.062000000000005,1.1,P002,P002,False
E0088,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Sorelli Vinagre Puro,$,26.42,0.76,20.0792,0.76,P002,,True
E0089,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Jamón de Pavo Kreef,$,26.42,5.17,136.5914,5.17,P002,,True
E0090,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Leche LTO Delactomy,$,26.42,2.11,55.7462,2.11,P002,,True
E0091,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Toalla Húmeda Saba,$,26.42,1.69,44.6498,1.69,P002,P005,False
E0092,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Gaseosa Coca Cola SF,$,26.42,1.1,29.062000000000005,1.1,P002,,True
E0093,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Jabón de Tocador DK,$,26.42,0.99,26.155800000000003,0.99,P002,,True
E0094,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Yog Dos Pinos Griego,$,26.42,1.44,38.0448,1.44,P002,P003,False
E0095,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Bloqueador Solar SPF,$,26.42,7.25,191.545,7.25,P002,,True
E0096,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Sandwich Slices Amer,$,26.42,1.22,32.2324,1.22,P002,,True
E0097,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Mayonesa Hellmann’s,$,26.42,2.05,54.161,2.05,P002,,True
E0098,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Bebida Hidratante Suer,$,26.42,2.25,59.44500000000001,2.25,P002,P002,False
E0099,T001,ESV Shakira 2026,Super Selectos,2026-02-06,Compras Super,Pan Bimbo Blanco Cero,$,26.42,2.55,67.371,2.55,P002,,True
E0100,T001,ESV Shakira 2026,Maktub,2026-02-06,Compras Super,Descuentos,$,26.42,-1.32,-34.8744,-1.32,P002,,True
E0101,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Revuelta Maíz,$,26.42,0.85,22.457,0.85,P002,P003,False
E0102,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Tocino Maíz,$,26.42,1.5,39.63,1.5,P002,P003,False
E0103,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Chorizo Argentino y Queso,$,26.42,1.75,46.235,1.75,P002,P003,False
E0104,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Chorizo Argentino y Queso,$,26.42,1.75,46.235,1.75,P002,P002,False
E0105,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Chorizo Argentino y Queso,$,26.42,1.75,46.235,1.75,P002,P004,False
E0106,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pepsi Zero,$,26.42,1.0,26.42,1.0,P002,P003,False
E0107,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Jalapeño y Queso Maíz,$,26.42,1.25,33.025000000000006,1.25,P002,P005,False
E0108,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Revuelta Especial Maíz,$,26.42,1.5,39.63,1.5,P002,P002,False
E0109,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Revuelta Especial Maíz,$,26.42,1.5,39.63,1.5,P002,P004,False
E0110,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Revuelta Especial Maíz,$,26.42,1.5,39.63,1.5,P002,P005,False
E0111,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Revuelta Especial Maíz,$,26.42,1.5,39.63,1.5,P002,P001,False
E0112,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Horchata,$,26.42,2.0,52.84,2.0,P002,P002,False
E0113,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Horchata,$,26.42,2.0,52.84,2.0,P002,P004,False
E0114,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Horchata,$,26.42,2.0,52.84,2.0,P002,P005,False
E0115,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa con Carne Asada Maíz,$,26.42,1.5,39.63,1.5,P002,P001,False
E0116,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa con Carne Asada Maíz,$,26.42,1.5,39.63,1.5,P002,P002,False
E0117,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Pollo y Queso Maíz,$,26.42,1.5,39.63,1.5,P002,P001,False
E0118,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pepsi,$,26.42,1.0,26.42,1.0,P002,P001,False
E0119,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Birria Maíz,$,26.42,2.5,66.05000000000001,2.5,P002,P004,False
E0120,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Margarita Maíz,$,26.42,2.0,52.84,2.0,P002,P004,False
E0121,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Pupusa Queso y Cilantro Maíz,$,26.42,1.25,33.025000000000006,1.25,P002,P002,False
E0122,T001,ESV Shakira 2026,Maktub,2026-02-06,Restaurantes,Servicio,$,26.42,3.31,87.45020000000001,3.31,P002,,True
E0123,T001,ESV Shakira 2026,Olive Garden,2026-02-07,Restaurantes,Chicken Alfredo,$,26.42,15.99,422.4558,15.99,P002,P002,False
E0124,T001,ESV Shakira 2026,Olive Garden,2026-02-07,Restaurantes,Sirloin with Fettuccine Alfredo,$,26.42,17.95,474.239,17.95,P002,P004,False
E0125,T001,ESV Shakira 2026,Olive Garden,2026-02-07,Restaurantes,Shrimp Alfredo,$,26.42,17.99,475.2958,17.99,P002,P005,False
E0126,T001,ESV Shakira 2026,Olive Garden,2026-02-07,Restaurantes,Tour of Italy,$,26.42,17.95,474.239,17.95,P002,P001,False
E0127,T001,ESV Shakira 2026,Olive Garden,2026-02-07,Restaurantes,Chicken Parmigiana,$,26.42,15.95,421.399,15.95,P002,P003,False
E0128,T001,ESV Shakira 2026,Olive Garden,2026-02-07,Restaurantes,Soda,$,26.42,2.99,78.99580000000002,2.99,P002,P004,False
E0129,T001,ESV Shakira 2026,Olive Garden,2026-02-07,Restaurantes,Soda,$,26.42,2.99,78.99580000000002,2.99,P002,P002,False
E0130,T001,ESV Shakira 2026,Olive Garden,2026-02-07,Restaurantes,Soda,$,26.42,2.99,78.99580000000002,2.99,P002,P001,False
E0131,T001,ESV Shakira 2026,Olive Garden,2026-02-07,Restaurantes,Mocktail Strawberry Mojito,$,26.42,2.99,78.99580000000002,2.99,P002,P005,False
E0132,T001,ESV Shakira 2026,Olive Garden,2026-02-07,Restaurantes,Limonada con Soda,$,26.42,3.75,99.075,3.75,P002,P003,False
E0133,T001,ESV Shakira 2026,Olive Garden,2026-02-07,Restaurantes,Café Toscano,$,26.42,2.75,72.655,2.75,P002,,True
E0134,T001,ESV Shakira 2026,Olive Garden,2026-02-07,Restaurantes,Servicio,$,26.42,9.23,243.8566,9.23,P002,,True
E0135,T001,ESV Shakira 2026,Bershka,2026-02-07,Souvenires,Gorra,$,26.42,8.95,236.459,8.95,P002,P001,False
E0136,T001,ESV Shakira 2026,Megapaca,2026-02-07,Ropa,Short,$,26.42,3.0,79.26,3.0,P002,P002,False
E0137,T001,ESV Shakira 2026,Megapaca,2026-02-07,Ropa,Cinchos,$,26.42,1.9,50.198,1.9,P002,P001,False
E0138,T001,ESV Shakira 2026,Megapaca,2026-02-07,Ropa,Pañuelos,$,26.42,0.85,22.457,0.85,P002,P001,False
E0139,T001,ESV Shakira 2026,Megapaca,2026-02-07,Ropa,Zapatos,$,26.42,7.15,188.903,7.15,P002,P002,False
E0140,T001,ESV Shakira 2026,Megapaca,2026-02-07,Ropa,Sandalias,$,26.42,1.85,48.877,1.85,P002,P005,False
E0141,T001,ESV Shakira 2026,La Nevería,2026-02-07,Restaurantes,Cafe Mocca,$,26.42,2.5,66.05000000000001,2.5,P002,P001,False
E0142,T001,ESV Shakira 2026,La Nevería,2026-02-07,Restaurantes,Smoothie de Yogurt,$,26.42,3.0,79.26,3.0,P002,P004,False
E0143,T001,ESV Shakira 2026,La Nevería,2026-02-07,Restaurantes,Smoothie de Yogurt,$,26.42,3.0,79.26,3.0,P002,P003,False
E0144,T001,ESV Shakira 2026,La Nevería,2026-02-07,Restaurantes,Smoothie de Yogurt,$,26.42,3.0,79.26,3.0,P002,P002,False
E0145,T001,ESV Shakira 2026,La Nevería,2026-02-07,Compras Super,Tortilla Jalapeña DI,$,26.42,2.1,55.482000000000006,2.1,P002,,True
E0146,T001,ESV Shakira 2026,La Nevería,2026-02-07,Compras Super,Agua Cristal 1L PET,$,26.42,0.65,17.173000000000002,0.65,P002,P004,False
E0147,T001,ESV Shakira 2026,La Nevería,2026-02-07,Compras Super,Agua Cristal 1L PET,$,26.42,0.65,17.173000000000002,0.65,P002,P001,False
E0148,T001,ESV Shakira 2026,La Nevería,2026-02-07,Compras Super,Agua Cristal 1L PET,$,26.42,0.65,17.173000000000002,0.65,P002,P002,False
E0149,T001,ESV Shakira 2026,La Nevería,2026-02-07,Compras Super,Agua Cristal 1L PET,$,26.42,0.65,17.173000000000002,0.65,P002,P003,False
E0150,T001,ESV Shakira 2026,La Nevería,2026-02-07,Compras Super,Agua Cristal 1L PET,$,26.42,0.65,17.173000000000002,0.65,P002,P005,False
E0151,T001,ESV Shakira 2026,La Nevería,2026-02-07,Compras Super,6 Pack Cerveza Pilsener,$,26.42,7.55,199.471,7.55,P002,P001,False
E0152,T001,ESV Shakira 2026,La Nevería,2026-02-07,Compras Super,Caramelo Halls Yerba,$,26.42,0.9,23.778,0.9,P002,P003,False
E0153,T001,ESV Shakira 2026,La Nevería,2026-02-07,Compras Super,Galleta Florentinas,$,26.42,1.05,27.741000000000003,1.05,P002,P005,False
E0154,T001,ESV Shakira 2026,La Nevería,2026-02-07,Compras Super,Bebida Supl. Alimenticia,$,26.42,0.5,13.21,0.5,P002,P003,False
E0155,T001,ESV Shakira 2026,El Tunco,2026-02-07,Compras Super,Off,$,26.42,7.4,195.508,7.4,P002,,True
E0156,T001,ESV Shakira 2026,El Tunco,2026-02-07,Amenidades,Baños,$,26.42,5.0,132.10000000000002,5.0,P002,,True
E0157,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Pupusa,$,26.42,1.5,39.63,1.5,P002,P004,False
E0158,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Pupusa,$,26.42,1.5,39.63,1.5,P002,P004,False
E0159,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Pupusa,$,26.42,1.5,39.63,1.5,P002,P004,False
E0160,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Pupusa,$,26.42,1.5,39.63,1.5,P002,P002,False
E0161,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Pupusa,$,26.42,1.5,39.63,1.5,P002,P002,False
E0162,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Pupusa,$,26.42,1.5,39.63,1.5,P002,P002,False
E0163,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Pupusa,$,26.42,1.5,39.63,1.5,P002,P001,False
E0164,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Pupusa,$,26.42,1.5,39.63,1.5,P002,P001,False
E0165,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Pupusa,$,26.42,1.5,39.63,1.5,P002,P005,False
E0166,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Pupusa,$,26.42,1.5,39.63,1.5,P002,P003,False
E0167,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Pupusa,$,26.42,1.25,33.025000000000006,1.25,P002,P003,False
E0168,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Fresco,$,26.42,1.25,33.025000000000006,1.25,P002,P004,False
E0169,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Fresco,$,26.42,1.25,33.025000000000006,1.25,P002,P001,False
E0170,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Fresco,$,26.42,1.25,33.025000000000006,1.25,P002,P003,False
E0171,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Fresco,$,26.42,1.25,33.025000000000006,1.25,P002,P002,False
E0172,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Jamaica,$,26.42,2.0,52.84,2.0,P002,P005,False
E0173,T001,ESV Shakira 2026,El Tunco,2026-02-07,Entretenimiento,Cover Kakos,$,26.42,25.0,660.5,25.0,P002,,True
E0174,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Cervezas,$,26.42,8.0,211.36,8.0,P002,P001,False
E0175,T001,ESV Shakira 2026,El Tunco,2026-02-07,Restaurantes,Cervezas,$,26.42,5.0,132.10000000000002,5.0,P002,P003,False
E0176,T001,ESV Shakira 2026,El Tunco,2026-02-07,Amenidades,Duchas,$,26.42,1.0,26.42,1.0,P002,P002,False
E0177,T001,ESV Shakira 2026,El Tunco,2026-02-07,Amenidades,Duchas,$,26.42,1.0,26.42,1.0,P002,P001,False
E0178,T001,ESV Shakira 2026,El Tunco,2026-02-07,Amenidades,Duchas,$,26.42,1.0,26.42,1.0,P002,P004,False
E0179,T001,ESV Shakira 2026,El Tunco,2026-02-07,Amenidades,Baños,$,26.42,1.0,26.42,1.0,P002,P005,False
E0180,T001,ESV Shakira 2026,El Tunco,2026-02-07,Amenidades,Baños,$,26.42,1.0,26.42,1.0,P002,P003,False
E0181,T001,ESV Shakira 2026,El Tunco,2026-02-07,Amenidades,Parqueo,$,26.42,3.0,79.26,3.0,P002,,True
E0182,T001,ESV Shakira 2026,Starbucks,2026-02-08,Restaurantes,Hot Venti Green Tea Latte,$,26.42,5.2,137.384,5.2,P002,P004,False
E0183,T001,ESV Shakira 2026,Starbucks,2026-02-08,Restaurantes,Hot Grande Green Tea Latte,$,26.42,4.75,125.495,4.75,P002,P002,False
